h1n1_concern,h1n1_knowledge,cat_age_group_'18 - 34 Years',cat_age_group_'35 - 44 Years',cat_age_group_'45 - 54 Years',cat_age_group_'55 - 64 Years',cat_age_group_'65+ Years',cat_sex_'Female',cat_sex_'Male'
-0.6168543219634621,-0.3570623128108526,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.3943822714192625,1.3432344148598743,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3943822714192625,-0.3570623128108526,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.4056188648019872,-0.3570623128108526,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.3943822714192625,-0.3570623128108526,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.6168543219634621,-0.3570623128108526,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.3943822714192625,1.3432344148598743,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.3943822714192625,1.3432344148598743,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6168543219634621,1.3432344148598743,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.6168543219634621,-0.3570623128108526,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.6168543219634621,-0.3570623128108526,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3943822714192625,-0.3570623128108526,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.3943822714192625,-0.3570623128108526,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.6168543219634621,-0.3570623128108526,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.6280909153461869,-0.3570623128108526,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.3943822714192625,1.3432344148598743,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.3943822714192625,-0.3570623128108526,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-2.6393275087289116,1.3432344148598743,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-1.6280909153461869,-0.3570623128108526,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.3943822714192625,-0.3570623128108526,0.0,0.0,1.0,0.0,0.0,0.0,1.0
